,ds,yhat,yhat_lower,yhat_upper
228,2021-11-20 14:40:49,29385237.51060941,16508473.865335334,42767230.56963263
229,2021-11-20 14:40:54,29390742.980089586,15534797.671467407,42498755.50175904
230,2021-11-20 14:40:59,29396248.44956976,15795785.451138988,43057306.89938961
231,2021-11-20 14:41:04,29401753.91904994,15501464.317162687,41530754.15631485
232,2021-11-20 14:41:09,29407259.38853012,15664120.425486544,43853979.19575934
233,2021-11-20 14:41:14,29412764.858010296,15082864.175316192,43402414.41611416
234,2021-11-20 14:41:19,29418270.327490475,15803395.487829037,42109719.500055015
235,2021-11-20 14:41:24,29423775.79697065,15279102.63090788,43140011.2152502
236,2021-11-20 14:41:29,29429281.266450826,16643803.941035254,44075509.76385497
237,2021-11-20 14:41:34,29434786.735931005,15276457.83068279,43176862.6421698
238,2021-11-20 14:41:39,29440292.205411185,16067619.385940708,43395603.18739487
239,2021-11-20 14:41:44,29445797.674891364,15884599.298630076,42107671.995994985
240,2021-11-20 14:41:49,29451303.14437154,15625219.414679652,44290113.687596366
241,2021-11-20 14:41:54,29456808.613851715,15358872.098538198,43306037.69504815
242,2021-11-20 14:41:59,29462314.083331894,14865359.059534492,43086421.478028476
243,2021-11-20 14:42:04,29467819.55281207,16792481.293581903,43786914.32679101
244,2021-11-20 14:42:09,29473325.02229225,15430181.70605824,43065172.55874472
245,2021-11-20 14:42:14,29478830.49177243,15011544.866544005,43796212.257043906
246,2021-11-20 14:42:19,29484335.961252604,16523360.290722582,42634644.93104149
247,2021-11-20 14:42:24,29489841.43073278,15186960.805222858,43901338.072468095
248,2021-11-20 14:42:29,29495346.90021296,16040219.536539765,43236258.768576294
249,2021-11-20 14:42:34,29500852.369693134,15944685.340261457,43962408.96796483
250,2021-11-20 14:42:39,29506357.83917331,15459822.866148219,42752699.13850468
251,2021-11-20 14:42:44,29511863.308653492,16441078.426429711,43137843.05111804
252,2021-11-20 14:42:49,29517368.778133668,16226262.249831986,43522457.343792215
253,2021-11-20 14:42:54,29522874.247613844,15966044.114884485,44203931.86746969
254,2021-11-20 14:42:59,29528379.717094023,16949022.0101567,42695960.43014317
255,2021-11-20 14:43:04,29533885.1865742,16978625.653242946,42328384.094240725
256,2021-11-20 14:43:09,29539390.656054374,13781719.32398685,43002061.13701356
257,2021-11-20 14:43:14,29544896.125534557,16143275.201198127,42708822.11953989
258,2021-11-20 14:43:19,29550401.595014732,15640592.790208288,42099147.1605732
259,2021-11-20 14:43:24,29555907.064494908,16174968.0392552,42924617.876003504
260,2021-11-20 14:43:29,29561412.533975087,16024603.41759939,43032700.46799419
261,2021-11-20 14:43:34,29566918.003455263,16366053.82152702,43829482.20098739
262,2021-11-20 14:43:39,29572423.472935442,15157368.924233941,44450238.92144128
263,2021-11-20 14:43:44,29577928.94241562,17137975.555032346,42539253.86042758
264,2021-11-20 14:43:49,29583434.411895797,17902742.61849935,42164983.95949808
265,2021-11-20 14:43:54,29588939.881375976,14303032.531441698,43116962.66830319
266,2021-11-20 14:43:59,29594445.35085615,15472305.655062389,42924068.78323133
267,2021-11-20 14:44:04,29599950.820336327,15127072.31002086,43027266.51327809
268,2021-11-20 14:44:09,29605456.289816506,15626160.279435227,43018953.63287748
269,2021-11-20 14:44:14,29610961.75929668,16247416.393338189,42811047.22007842
270,2021-11-20 14:44:19,29616467.22877686,15379611.371830398,42696706.69307019
271,2021-11-20 14:44:24,29621972.69825704,16120751.713426214,41959437.622272626
272,2021-11-20 14:44:29,29627478.167737216,15567026.620126259,44724196.19960169
273,2021-11-20 14:44:34,29632983.63721739,16012723.804602534,43966489.50896555
274,2021-11-20 14:44:39,29638489.10669757,16416160.121731069,43245065.454179354
275,2021-11-20 14:44:44,29643994.576177746,14723632.646094214,42970587.33280354
276,2021-11-20 14:44:49,29649500.045657925,16151945.363218904,43581447.46383982
277,2021-11-20 14:44:54,29655005.508184608,16488786.633996867,42308088.92514595
278,2021-11-20 14:44:59,29660510.97071129,14985316.110423634,43336480.413991146
279,2021-11-20 14:45:04,29666016.433237974,15368051.965495832,42979365.97422519
280,2021-11-20 14:45:09,29671521.895764656,14984594.180703204,43611330.13395304
281,2021-11-20 14:45:14,29677027.358291343,15999758.399655303,43620608.506612204
282,2021-11-20 14:45:19,29682532.820818026,15968125.574800227,43026562.47994902
283,2021-11-20 14:45:24,29688038.28334471,15354956.70127051,43784474.6540275
284,2021-11-20 14:45:29,29693543.74587139,17025916.94336187,43139270.905628145
285,2021-11-20 14:45:34,29699049.208398074,16811863.29880534,43785800.95251826
286,2021-11-20 14:45:39,29704554.67092476,16481453.009626906,42979882.762490414
287,2021-11-20 14:45:44,29710060.133451443,14816484.698445162,43294519.98104631
288,2021-11-20 14:45:49,29715565.595978126,16260335.666553529,44069084.75322454
289,2021-11-20 14:45:54,29721071.058504812,14842005.071261672,42959014.67553784
290,2021-11-20 14:45:59,29726576.52103149,16771946.382515166,42844639.557739414
291,2021-11-20 14:46:04,29732081.983558178,15570468.449849192,43487874.037429385
292,2021-11-20 14:46:09,29737587.44608486,16914664.333985444,42903641.897771426
293,2021-11-20 14:46:14,29743092.908611543,16591164.710608,44477554.74497443
294,2021-11-20 14:46:19,29748598.37113823,16353944.798400141,42621180.91023548
295,2021-11-20 14:46:24,29754103.833664913,15274344.020577215,43736034.19864725
296,2021-11-20 14:46:29,29759609.296191595,16168873.35056897,45108315.3012729
297,2021-11-20 14:46:34,29765114.75871828,15616374.877549728,43390259.788672656
298,2021-11-20 14:46:39,29770620.22124496,15666372.35805943,42812655.63057861
299,2021-11-20 14:46:44,29776125.683771648,16654873.879537772,43774681.3605128
300,2021-11-20 14:46:49,29781631.14629833,14736039.816555668,43782149.74811356
301,2021-11-20 14:46:54,29787136.60882501,16481872.329875877,43298826.393141754
302,2021-11-20 14:46:59,29792642.071351696,16192601.809138076,44156664.086482786
303,2021-11-20 14:47:04,29798147.53387838,17624178.441692866,43817599.47511429
304,2021-11-20 14:47:09,29803652.996405065,15276615.843313877,42645697.6967015
305,2021-11-20 14:47:14,29809158.458931748,15853760.52497308,43832927.79605895
306,2021-11-20 14:47:19,29814663.92145843,16925639.296266887,43376708.07636988
307,2021-11-20 14:47:24,29820169.383985113,15791221.776439829,43831816.06116434
308,2021-11-20 14:47:29,29825674.846511796,15278995.77543033,43303508.31410487
309,2021-11-20 14:47:34,29831180.309038483,17913840.46680636,43095358.150387384
310,2021-11-20 14:47:39,29836685.771565165,17655485.071061533,44875569.54962906
311,2021-11-20 14:47:44,29842191.234091848,17603424.736855574,43807952.95686417
312,2021-11-20 14:47:49,29847696.696618535,15163173.128193151,42999934.81621542
313,2021-11-20 14:47:54,29853202.159145214,17085264.332800545,43406650.88242139
